output_id,transport,report_id,side,physical_target,payload_offsets,raw_offsets_with_report_id,encoding,off_value,dim_value,on_value,observed_transition,notes,palette_reference
FLUX_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,FLUX,52,53,INTENSITY_U8,0x00,0x14,0x7F,,OFF/DIM/ON contract; raw offset includes Report ID.,
CUE_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,CUE,58,59,INTENSITY_U8,0x00,0x14,0x7F,,OFF/DIM/ON contract; raw offset includes Report ID.,
PLAY_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PLAY,59,60,INTENSITY_U8,0x00,0x14,0x7F,,OFF/DIM/ON contract; raw offset includes Report ID.,
SYNC_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,SYNC,57,58,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
LOOP_BUTTON_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,LOOP_BUTTON,47,48,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
LOOP_RING_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,LOOP_RING,64;65;66;67,65;66;67;68,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
FREEZE_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,FREEZE,49,50,INTENSITY_U8,0x00,0x14,0x7F,0x14 -> 0x7F -> 0x14,FREEZE LEFT field. The observed cycle is 0x14 -> 0x7F -> 0x14; 0x14 is a documented protocol value and is not classified as physically off.,
REMIX_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,REMIX,51,52,INTENSITY_U8,0x14,0x14,0x7F,0x14 -> 0x7F -> 0x14,REMIX LEFT field. The observed cycle is 0x14 -> 0x7F -> 0x14; 0x14 is a documented protocol value and is not classified as physically off.,
SLOT_FILTER1_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,SLOT_FILTER1,40,41,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
SLOT_FILTER2_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,SLOT_FILTER2,41,42,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
SLOT_FILTER3_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,SLOT_FILTER3,42,43,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
SLOT_FILTER4_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,SLOT_FILTER4,43,44,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
FX_UNIT1_ON,HID_OUTPUT_REPORT,0x80,LEFT,FX_UNIT1_ON,25,26,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_UNIT1_BTN1,HID_OUTPUT_REPORT,0x80,LEFT,FX_UNIT1_SLOT1,26,27,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_UNIT1_BTN2,HID_OUTPUT_REPORT,0x80,LEFT,FX_UNIT1_SLOT2,27,28,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_UNIT1_BTN3,HID_OUTPUT_REPORT,0x80,LEFT,FX_UNIT1_SLOT3,28,29,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
HOTCUE_1_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_1,0;1;2,1;2;3,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_2_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_2,3;4;5,4;5;6,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_3_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_3,6;7;8,7;8;9,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_4_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_4,9;10;11,10;11;12,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_5_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_5,12;13;14,13;14;15,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_6_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_6,15;16;17,16;17;18,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_7_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_7,18;19;20,19;20;21,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_8_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,PAD_8,21;22;23,22;23;24,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
FLUX_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,FLUX,52,53,INTENSITY_U8,0x00,0x14,0x7F,,OFF/DIM/ON contract; raw offset includes Report ID.,
CUE_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,CUE,58,59,INTENSITY_U8,0x00,0x14,0x7F,,OFF/DIM/ON contract; raw offset includes Report ID.,
PLAY_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PLAY,59,60,INTENSITY_U8,0x00,0x14,0x7F,,OFF/DIM/ON contract; raw offset includes Report ID.,
SYNC_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,SYNC,57,58,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
LOOP_BUTTON_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,LOOP_BUTTON,47,48,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
LOOP_RING_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,LOOP_RING,64;65;66;67,65;66;67;68,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
FREEZE_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,FREEZE,49,50,INTENSITY_U8,0x00,0x14,0x7F,0x14 -> 0x7F -> 0x14,FREEZE RIGHT field. The observed cycle is 0x14 -> 0x7F -> 0x14; 0x14 is a documented protocol value and is not classified as physically off.,
REMIX_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,REMIX,51,52,INTENSITY_U8,0x14,0x14,0x7F,0x14 -> 0x7F -> 0x14,REMIX RIGHT field. The observed cycle is 0x14 -> 0x7F -> 0x14; 0x14 is a documented protocol value and is not classified as physically off.,
SLOT_FILTER1_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,SLOT_FILTER1,40,41,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
SLOT_FILTER2_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,SLOT_FILTER2,41,42,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
SLOT_FILTER3_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,SLOT_FILTER3,42,43,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
SLOT_FILTER4_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,SLOT_FILTER4,43,44,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
FX_UNIT2_ON,HID_OUTPUT_REPORT,0x81,RIGHT,FX_UNIT2_ON,25,26,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_UNIT2_BTN1,HID_OUTPUT_REPORT,0x81,RIGHT,FX_UNIT2_SLOT1,26,27,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_UNIT2_BTN2,HID_OUTPUT_REPORT,0x81,RIGHT,FX_UNIT2_SLOT2,27,28,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_UNIT2_BTN3,HID_OUTPUT_REPORT,0x81,RIGHT,FX_UNIT2_SLOT3,28,29,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
HOTCUE_1_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_1,0;1;2,1;2;3,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_2_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_2,3;4;5,4;5;6,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_3_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_3,6;7;8,7;8;9,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_4_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_4,9;10;11,10;11;12,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_5_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_5,12;13;14,13;14;15,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_6_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_6,15;16;17,16;17;18,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_7_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_7,18;19;20,19;20;21,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
HOTCUE_8_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,PAD_8,21;22;23,22;23;24,THREE_BYTE_COLOR_VALUE_ORDER_UNRESOLVED,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_N_color,,Seventeen named transmitted values are available at this pad’s three-byte payload address.,PAD_COLOR_PALETTE.csv
FX_ASSIGN1_A,HID_OUTPUT_REPORT,0x82,GLOBAL,FX_ASSIGN1_A,46,47,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_ASSIGN2_A,HID_OUTPUT_REPORT,0x82,GLOBAL,FX_ASSIGN2_A,47,48,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
SNAP,HID_OUTPUT_REPORT,0x82,GLOBAL,SNAP,48,49,INTENSITY_U8,0x14,0x14,0x7F,,Technical behavior remains limited to the documented hardware evidence.,
QUANTIZE,HID_OUTPUT_REPORT,0x82,GLOBAL,QUANTIZE,49,50,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_ASSIGN1_B,HID_OUTPUT_REPORT,0x82,GLOBAL,FX_ASSIGN1_B,50,51,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
FX_ASSIGN2_B,HID_OUTPUT_REPORT,0x82,GLOBAL,FX_ASSIGN2_B,51,52,INTENSITY_U8,0x14,0x14,0x7F,,Validation pending.,
MIXER_FILTER_STATE_ABCD,HID_FEATURE_REPORT,0xF4,GLOBAL,MIXER_FILTER_A_B_C_D,0;1,1;2,FIXED_PREFIX_PLUS_BITMASK,0x25 0x00,NOT_APPLICABLE,0x25 0x0F,,Bytes 2..31 are zero; individual and multi-channel composition physically passed.,
DISPLAY_INIT,HID_FEATURE_REPORT_OPTIONAL_DISPLAY,0xF8,GLOBAL,DISPLAY_INIT,0;1;2;3;4;5;6;7;8;9,1;2;3;4;5;6;7;8;9;10,FIXED_SEQUENCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCLOSED_PENDING_AUTHORIZATION,,Separate from HID control/LED maps; display frontend is out of scope.,
LED_CUE_PFL_C,USB_CONTROL_OUT,0xF4,C,CUE_PFL,2,,CHANNEL_MASK,0x00,,0x04,,Combinacao observada somente para A+C; independent transmission not established Matrix index is zero-based in payload; do not interpret as report-inclusive byte offset.,
LED_CUE_PFL_A,USB_CONTROL_OUT,0xF4,A,CUE_PFL,2,,CHANNEL_MASK,0x00,,0x01,,Combinacao observada somente para A+C; independent transmission not established Matrix index is zero-based in payload; do not interpret as report-inclusive byte offset.,
LED_CUE_PFL_B,USB_CONTROL_OUT,0xF4,B,CUE_PFL,2,,CHANNEL_MASK,0x00,,0x02,,No B combination is documented; independent transmission not established Matrix index is zero-based in payload; do not interpret as report-inclusive byte offset.,
