control_id,physical_label,section,side_channel,physical_component_type,assembly_id,related_control_ids,signal_type,report_id,report_length,encoding,endianness,signedness,idle_value,active_value,press_edge,release_edge,direction,cw_code,ccw_code,observed_min,observed_max,resolution_observed,touch_control_id,push_control_id,reconciliation_status,confidence,byte_offset_with_report_id,payload_offset_without_report_id,field_width,bit_mask,bit_mask_hex,byte_masks,shift,modulus,canonical_view_length,canonical_view_kind,compatible_carrier_lengths,evidence_state,evidence_ref,ambiguity,behavior
BtnBackButtonLeft,BACK_LEFT,DECK,LEFT,BUTTON,BtnBackButtonLeft,[],BUTTON,1,41,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,,,CORRECTED_WITH_EVIDENCE,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,6,5,1,128,0x80,"[""0x80""]",7,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnBackButtonRight,BACK_RIGHT,DECK,RIGHT,BUTTON,BtnBackButtonRight,[],BUTTON,1,41,BITFIELD,,,0,1,PRESS_AND_RELEASE,,,,,,,,,,CONFIRMED,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,14,13,1,128,0x80,"[""0x80""]",7,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=PRESS_AND_RELEASE; RELEASE=None
BtnBrowseKnobLeft,BROWSE_LEFT_PUSH,DECK / LEFT,LEFT,BUTTON,ASSEMBLY_BROWSEKNOBLEFT,"[""CapBrowseKnobLeft"",""EncBrowseKnobLeft""]",PUSH,1,109,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,CapBrowseKnobLeft,BtnBrowseKnobLeft,ADDED_BY_LATER_CAPTURE,CONFIRMED,4,3,1,8,0x08,"[""0x08""]",,,41,CANONICAL_PREFIX_COMPATIBLE_CARRIER,[],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnBrowseKnobRight,BROWSE_RIGHT_PUSH,DECK / RIGHT,RIGHT,BUTTON,ASSEMBLY_BROWSEKNOBRIGHT,"[""CapBrowseKnobRight"",""EncBrowseKnobRight""]",PUSH,1,109,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,CapBrowseKnobRight,BtnBrowseKnobRight,ADDED_BY_LATER_CAPTURE,CONFIRMED,12,11,1,8,0x08,"[""0x08""]",,,41,CANONICAL_PREFIX_COMPATIBLE_CARRIER,[],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnCaptureButtonLeft,CAPTURE_LEFT,DECK,LEFT,BUTTON,BtnCaptureButtonLeft,[],BUTTON,1,41,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,,,CONFIRMED_MULTIPLE_SOURCES,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,6,5,1,32,0x20,"[""0x20""]",5,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnCaptureButtonRight,CAPTURE_RIGHT,DECK,RIGHT,BUTTON,BtnCaptureButtonRight,[],BUTTON,1,41,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,,,CONFIRMED_MULTIPLE_SOURCES,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,14,13,1,32,0x20,"[""0x20""]",5,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnCueButtonLeft,DECK_LEFT_CUE,DECK,LEFT,BUTTON,BtnCueButtonLeft,[],BUTTON,1,41,BITFIELD,,,0,1,PRESS_AND_RELEASE,,,,,,,,,,CONFIRMED,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,9,8,1,32,0x20,"[""0x20""]",5,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=PRESS_AND_RELEASE; RELEASE=None
BtnCueButtonRight,DECK_RIGHT_CUE,DECK,RIGHT,BUTTON,BtnCueButtonRight,[],BUTTON,1,41,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,,,CONFIRMED_MULTIPLE_SOURCES,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,17,16,1,32,0x20,"[""0x20""]",5,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnEditButtonLeft,EDIT_LEFT,DECK,LEFT,BUTTON,BtnEditButtonLeft,[],BUTTON,1,41,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,,,CONFIRMED_MULTIPLE_SOURCES,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,6,5,1,1,0x01,"[""0x01""]",0,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
BtnEditButtonRight,EDIT_RIGHT,DECK,RIGHT,BUTTON,BtnEditButtonRight,[],BUTTON,1,41,BITFIELD,,,0,1,INACTIVE_TO_ACTIVE,ACTIVE_TO_INACTIVE,,,,,,,,,CONFIRMED_MULTIPLE_SOURCES,PHYSICAL_DIRECT_OR_APPROVED_CANONICAL,14,13,1,1,0x01,"[""0x01""]",0,,41,EXACT_CANONICAL_FAMILY,[109],OBSERVATIONAL_BASELINE,H01,NONE_RECORDED_IN_THIS_DERIVATION,Normalized state idle=0; active=1; PRESS=INACTIVE_TO_ACTIVE; RELEASE=ACTIVE_TO_INACTIVE
