control_or_mapping,mapping_function,transport,report_id_or_request_code,offset_without_report_id,offset_with_report_id,field_encoding_or_mask,activation_value,deactivation_value,dim_value,logical_state,platform,evidence_status,palette_reference
Deck A - Basic:BtnPlayButtonLeft:button,v8 OUT: A Play,HID_OUTPUT_REPORT,0x80,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck A - Basic:BtnCueButtonLeft:button,v8 OUT: A Cue,HID_OUTPUT_REPORT,0x80,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck A - Basic:BtnSyncButtonLeft:button,v8 OUT: A Sync,HID_OUTPUT_REPORT,0x80,57,58,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnLoopKnobLeft:button,v8 OUT: A Loop encoder ring / active loop,HID_OUTPUT_REPORT,0x80,64;65;66;67,65;66;67;68,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnLoopButtonLeft:button,v8 OUT: A LOOP button -> active loop state,HID_OUTPUT_REPORT,0x80,47,48,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnSliceButtonLeft:button,v8 OUT: A FREEZE button -> Freeze Mode state,HID_OUTPUT_REPORT,0x80,49,50,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnFluxButtonLeft:button,v8 OUT: A FLUX state,HID_OUTPUT_REPORT,0x80,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck A - Basic:BtnRemixButtonLeft:button,v8 OUT: A REMIX deck flavor,HID_OUTPUT_REPORT,0x80,51,52,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Shift:BtnPlayButtonLeft:button,v8 OUT: A Play,HID_OUTPUT_REPORT,0x80,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck A - Shift:BtnCueButtonLeft:button,v8 OUT: A Cue,HID_OUTPUT_REPORT,0x80,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck A - Shift:BtnFluxButtonLeft:button,v8 OUT: A FLUX state,HID_OUTPUT_REPORT,0x80,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
GLOBAL:BtnFxassLAMixer:button,v8 OUT: A FX Assign Unit 1,HID_OUTPUT_REPORT,0x82,46,47,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFxassRAMixer:button,v8 OUT: A FX Assign Unit 2,HID_OUTPUT_REPORT,0x82,47,48,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnOnButton1Left:button,v8 OUT: A Slot 1 Filter On,HID_OUTPUT_REPORT,0x80,40,41,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnOnButton2Left:button,v8 OUT: A Slot 2 Filter On,HID_OUTPUT_REPORT,0x80,41,42,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnOnButton3Left:button,v8 OUT: A Slot 3 Filter On,HID_OUTPUT_REPORT,0x80,42,43,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck A - Basic:BtnOnButton4Left:button,v8 OUT: A Slot 4 Filter On,HID_OUTPUT_REPORT,0x80,43,44,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnPlayButtonRight:button,v8 OUT: B Play,HID_OUTPUT_REPORT,0x81,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck B - Basic:BtnCueButtonRight:button,v8 OUT: B Cue,HID_OUTPUT_REPORT,0x81,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck B - Basic:BtnSyncButtonRight:button,v8 OUT: B Sync,HID_OUTPUT_REPORT,0x81,57,58,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnLoopKnobRight:button,v8 OUT: B Loop encoder ring / active loop,HID_OUTPUT_REPORT,0x81,64;65;66;67,65;66;67;68,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnLoopButtonRight:button,v8 OUT: B LOOP button -> active loop state,HID_OUTPUT_REPORT,0x81,47,48,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnSliceButtonRight:button,v8 OUT: B FREEZE button -> Freeze Mode state,HID_OUTPUT_REPORT,0x81,49,50,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnFluxButtonRight:button,v8 OUT: B FLUX state,HID_OUTPUT_REPORT,0x81,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck B - Basic:BtnRemixButtonRight:button,v8 OUT: B REMIX deck flavor,HID_OUTPUT_REPORT,0x81,51,52,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
